FILE,AFFINITY_KCAL_PER_MOL
docked_ligand/mol_018_out.pdbqt,27.966
docked_ligand/mol_100_out.pdbqt,27.626
docked_ligand/mol_099_out.pdbqt,28.283
docked_ligand/mol_120_out.pdbqt,28.296
docked_ligand/mol_381_out.pdbqt,28.552
docked_ligand/mol_118_out.pdbqt,37.168
docked_ligand/mol_020_out.pdbqt,45.280
docked_ligand/mol_373_out.pdbqt,48.317
docked_ligand/mol_055_out.pdbqt,67.627
docked_ligand/mol_409_out.pdbqt,74.907
docked_ligand/mol_074_out.pdbqt,85.503
docked_ligand/mol_349_out.pdbqt,146.536
docked_ligand/mol_029_out.pdbqt,165.474
docked_ligand/mol_400_out.pdbqt,185.829
docked_ligand/mol_044_out.pdbqt,206.398
docked_ligand/mol_131_out.pdbqt,207.630
docked_ligand/mol_310_out.pdbqt,374.438
docked_ligand/mol_284_out.pdbqt,388.517
docked_ligand/mol_062_out.pdbqt,547.850
docked_ligand/mol_255_out.pdbqt,561.382
docked_ligand/mol_253_out.pdbqt,580.747
docked_ligand/mol_402_out.pdbqt,675.171
docked_ligand/mol_117_out.pdbqt,1435.995
docked_ligand/mol_358_out.pdbqt,5082.139
docked_ligand/mol_270_out.pdbqt,5918.440
docked_ligand/mol_102_out.pdbqt,7024.893
docked_ligand/mol_196_out.pdbqt,63392.852
docked_ligand/mol_114_out.pdbqt,239911.812
docked_ligand/mol_116_out.pdbqt,583803.312
docked_ligand/mol_194_out.pdbqt,5168037.500
docked_ligand/mol_193_out.pdbqt,8895909.000
