smiles,node_id,num_expansions,rollout_num,score,pharmacophore,Q_value,num_reactions,reaction_1_chemical_space,reaction_1_id,building_block_1_1_id,building_block_1_1_smiles,building_block_1_2_id,building_block_1_2_smiles,building_block_1_3_id,building_block_1_3_smiles
CCOC(=O)c1cnn(-c2ccccc2Br)c1Nc1cc(F)cc(F)c1C(=O)OC,161951,1,3819,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,55636,CCOC(=O)c1cnn(-c2ccccc2Br)c1N[U],469357,COC(=O)c1c(F)cc(F)cc1[U],,
CCOC(=O)c1cnn(-c2ccccc2-c2cc(C(=O)OC)cc(Cl)c2O)c1N,161957,1,3822,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,267229,CCOC(=O)c1cnn(-c2ccccc2[U])c1N,469444,COC(=O)c1cc(Cl)c(O)c([U])c1,,
CCOC(=O)c1csc2cc(-c3cc(C(=O)OC)cc(C=O)c3O)ccc12,161979,1,3833,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,267237,CCOC(=O)c1csc2cc([U])ccc12,469529,COC(=O)c1cc([U])c(O)c(C=O)c1,,
CCOC(=O)c1nn(-c2ccccc2Cl)c(Nc2ccc(Oc3ccc(C(=O)OC)cc3)cc2)c1C#N,162019,1,3853,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,55660,CCOC(=O)c1nn(-c2ccccc2Cl)c(N[U])c1C#N,469734,COC(=O)c1ccc(Oc2ccc([U])cc2)cc1,,
CCOC(=O)c1nnn(-c2ccc(-c3cc(B(O)O)c(F)cc3F)cc2)c1C,162027,1,3857,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,468300,CCOC(=O)c1nnn(-c2ccc([U])cc2)c1C,478335,OB(O)c1cc([U])c(F)cc1F,,
CCOC(=O)c1sc(-c2ccc(OSc3cnn(C4CN(C(=O)OC(C)(C)C)C4)c3)c(C#N)c2)nc1C,162039,1,3863,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,485709,CCOC(=O)c1sc(-c2ccc(O[U])c(C#N)c2)nc1C,452261,CC(C)(C)OC(=O)N1CC(n2cc(S[U])cn2)C1,,
CCOC(=O)c1sc(-c2ccc(OSc3cc(C(=O)OC(C)(C)C)c(F)cc3F)cc2)nc1C,162041,1,3864,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,485711,CCOC(=O)c1sc(-c2ccc(O[U])cc2)nc1C,452508,CC(C)(C)OC(=O)c1cc(S[U])c(F)cc1F,,
CCOC(=O)c1cc(F)c(F)cc1Sc1ccc(-c2cc(N)c(C(=O)OCC)s2)cc1,162047,1,3867,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,267294,CCOC(=O)c1sc(-c2ccc([U])cc2)cc1N,454486,CCOC(=O)c1cc(F)c(F)cc1S[U],,
CCOC(=O)c1sc(-c2ccccn2)nc1CSc1cc(F)cc(F)c1C(=O)OC,162065,1,3874,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,493382,CCOC(=O)c1sc(-c2ccccn2)nc1C[U],455631,COC(=O)c1c(F)cc(F)cc1S[U],,
CCOC(=O)c1sc2cccc(Sc3cc(C(=O)OC)cc(F)c3F)c2c1N,162075,1,3878,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,267301,CCOC(=O)c1sc2cccc([U])c2c1N,455733,COC(=O)c1cc(F)c(F)c(S[U])c1,,
CCOCCOc1ccc(C(=O)OSc2cncc3sc(C(=O)OC)cc23)cc1,162117,1,3899,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,23218,CCOCCOc1ccc(C(=O)O[U])cc1,455896,COC(=O)c1cc2c(S[U])cncc2s1,,
CCOc1c(Br)cc(C(=O)OSCc2cc(F)ccc2C(=O)OC)cc1OC,162133,1,3907,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,23229,CCOc1c(Br)cc(C(=O)O[U])cc1OC,455964,COC(=O)c1ccc(F)cc1CS[U],,
CCOc1c(F)cc(C(=O)OSc2cc(O)ccc2C(=O)OC)cc1F,162139,1,3910,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,23236,CCOc1c(F)cc(C(=O)O[U])cc1F,455975,COC(=O)c1ccc(O)cc1S[U],,
CCOc1c(OC)cc(C(=O)NN)cc1SCc1cc(OC)ccc1C(=O)OC,162153,1,3917,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,468382,CCOc1c([U])cc(C(=O)NN)cc1OC,455983,COC(=O)c1ccc(OC)cc1CS[U],,
CCOc1cc(C(=O)OSc2cc(S(C)(=O)=O)ccc2C(=O)OC)ccc1Cl,162165,1,3923,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,23250,CCOc1cc(C(=O)O[U])ccc1Cl,455991,COC(=O)c1ccc(S(C)(=O)=O)cc1S[U],,
CCOc1cc(C(=O)SCc2cc(F)ccc2B(O)O)ccc1OCC(C)C,162217,1,3944,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,444994,CCOc1cc(C(=O)[U])ccc1OCC(C)C,463207,OB(O)c1ccc(F)cc1CS[U],,
CCOc1cc(C2OCC(C)O2)ccc1CSCCCOc1ccc(B(O)O)cc1,162225,1,3948,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,185653,CCOc1cc(C2OCC(C)O2)ccc1C[U],463211,OB(O)c1ccc(OCCCS[U])cc1,,
